Sample	AMY1C	CCDC60	FCER2	FERMT1	HOXA3	HOXC6	MROH2A	ONECUT2	STOML3	riskScore
0	12.39863222	8.56329283	5.408945465	8.312557644	5.933169257	6.771096252	5.066335202	4.172300349	5.527021866	-13.386
0	9.436715975	8.481425753	5.217743482	7.989036355	5.937251149	6.577641155	5.177225585	4.156430507	5.338054499	-11.924
0	11.68755258	8.79696469	5.874947826	7.720404365	5.646182528	6.405219881	4.724547484	3.982813831	8.361703742	-17.373
0	9.806953375	10.52137929	5.304185411	7.119608756	5.835972583	6.161316989	4.3173019	4.252800168	9.549468301	-18.225
0	10.66517213	8.62219956	5.395287357	8.283669117	6.612672657	6.688819104	5.01354918	4.137607685	6.376287968	-13.719
0	10.52805858	9.174728808	5.646327616	7.968043185	6.406954962	6.357768122	5.588941791	4.117772978	8.724683918	-18.001
0	8.722259655	9.076699434	7.103983503	6.871411653	6.238123856	6.563083485	4.679315952	4.07391234	7.548876477	-15.231
0	12.05853431	8.665201451	5.764277956	7.497035649	5.886932135	6.240318198	4.680390022	4.041791952	7.452174512	-16.337
0	9.385930198	9.147722916	4.994149599	7.734307086	7.004655789	6.882358369	4.973750539	4.091495444	7.545835731	-15.194
0	13.926916	4.6194925	8.583385	9.895044	7.087189	4.286739	8.220718	5.2664566	8.102609	-20.023
0	14.579258	6.1836643	9.12071	10.771566	7.19635	3.6030495	6.6603765	4.1236253	9.786835	-20.594
0	13.069661	4.776075	8.911234	12.845824	7.2403817	3.6712255	7.853838	7.4221225	9.055291	-18.297
0	12.194016	3.1646254	7.952905	10.761396	7.3581953	3.551636	8.009976	4.3791065	4.693365	-13.115
0	15.16963	4.1778092	9.330736	10.360664	7.0947046	3.6030495	8.011735	4.7934537	7.3386493	-18.948
0	14.582614	5.3217916	6.2746186	10.003501	11.670418	3.5014434	4.205129	4.637608	8.457305	-16.696
0	15.792789	4.8631105	7.547166	11.01746	7.5476007	4.3154397	8.058951	4.1483216	8.60151	-20.694
0	13.601116	5.554691	7.278683	12.514573	8.259553	3.629529	5.789985	4.1212482	8.405845	-15.749
0	15.518346	4.3198237	8.1336355	10.641339	6.7711496	3.8141959	8.916668	4.6532903	8.117494	-21.001
0	15.121873	4.7323823	9.147084	11.403131	7.005251	3.9005609	8.132292	5.039324	7.5537014	-18.546
0	14.999471	6.031102	8.123296	10.696079	6.8096323	3.385385	8.186647	5.085926	8.672298	-20.769
0	14.798439	6.5193257	9.610967	11.192353	7.2919073	3.602587	8.321272	4.4327335	10.18792	-22.679
0	8.322829498	6.824004051	5.804776378	7.338959175	5.409390936	5.22881869	4.944858446	5.64096791	9.659639187	-18.084
0	9.714417257	5.419538892	6.355791547	6.98982022	5.381975479	6.992088609	4.925999419	5.587964989	7.361066489	-15.627
0	7.461070114	6.756222713	5.596935142	8.444600814	7.520422249	8.032321287	5.902073579	6.037821465	5.240314329	-11.128
1	7.190885574	8.482288068	5.22959459	9.999573447	7.034967501	9.742207366	4.532609786	5.995269785	6.415252168	-10.116
1	5.098294167	8.256377226	4.675264967	9.031956108	8.15130878	8.620242633	4.788926999	4.953696536	5.325340214	-8.417
1	6.904863899	7.940074355	4.875236412	10.04103862	10.07028326	9.69407169	4.371778398	5.630535724	5.393711885	-8.240
1	7.456835115	8.470406073	5.180911906	9.089981695	8.833976822	7.214867056	5.265353227	4.537572574	5.686623471	-10.632
1	9.695008812	8.369093375	5.943855522	8.786568564	6.613036524	7.349929502	4.528557821	4.464735219	5.864801099	-11.553
1	6.122909374	8.290855478	4.794042546	9.510059661	9.236117519	10.10225619	4.615927991	5.415745286	6.165387958	-9.655
1	6.368904206	8.417704002	5.333301851	10.52523672	8.355271484	9.844638197	4.779999046	5.272785437	5.489902624	-8.140
1	7.649041746	8.089793862	5.435937337	9.389761152	6.058281562	8.864315829	4.617550052	5.132629263	5.373858751	-9.364
1	7.732720712	8.387641269	5.033344927	10.67397749	9.264507496	8.994167856	4.675773563	4.050618623	5.707057311	-8.953
1	7.495651366	8.36531988	5.144945064	9.436642459	6.414460742	11.1803175	5.082714908	4.456598335	5.499782352	-9.912
